artifact_key,path,bytes,sha256,last_write_time
utility,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_utility.csv,40262,f68503e84983eeff489ef249820fd1c574f8bbf3753b2a4a946132dd622865e4,2026-06-22T00:34:00.431791+00:00
rankings,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_rankings.csv,46712,219f9cc860d00c77e41f7f36bef8efe311c5226d15deb38eab2aaee7a75c8f1c,2026-06-22T00:34:00.438544+00:00
calibration,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_calibration.csv,111963,4b2799fb2ddfffe2c9819de1b313e6de94551a17904dd30c7aac72756b40d8cc,2026-06-22T00:34:00.461794+00:00
calibration_diagnostics,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_calibration_diagnostics.csv,49263,248a90a7d2f80707c26e29033993bb3de61432ff28628b99f908c3f0490356aa,2026-06-22T00:34:00.472295+00:00
split_manifest,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_split_manifest.csv,28522,4ec19c45934b29f51bb2a66080a7b399301806dd178e74b014dd6017467c4bbd,2026-06-22T00:34:00.478300+00:00
dataset_manifest,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_dataset_manifest.csv,2019,85a715211ee619b448babd88817e4af42d1fc26dfd518d7e47a378d694bc1ffd,2026-06-22T00:34:00.482804+00:00
environment,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_environment.json,1176,b9c910a0e0a2a6774e7a74af57dc09ecda9bda34c54a5d0fe8974f2b987e5d01,2026-06-22T00:09:17.545994+00:00
stability_summary,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_summary_stability.csv,3300,a32b1c0cf6ee0b53dd297cff35cdcf00c1abea671b1e1f549fc2c65dcecf42e4,2026-06-22T00:34:09.224735+00:00
selection_summary,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_summary_selection.csv,744,837bf98cc9d0d8cc4b11cc670b6e1e1a0e608553bd5c621ff2e3ccebf04917f1,2026-06-22T00:34:10.016727+00:00
calibration_summary,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_summary_calibration.csv,273,428ac555fc4a27f011cd3f993f2cde46ab8a5a27cebc33bbea2b0808c640dd3a,2026-06-22T00:34:10.737070+00:00
friedman,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_friedman.txt,620,78dda42d623e67e8f10a7beb0041529db0891fee11b8ed0eb9f623bad021d28b,2026-06-22T00:34:10.778322+00:00
reconciliation,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\03_experiments\results\harden_dupsafe_evidence_reconciliation.csv,6301,4ce4405fc37ad518de3b359bf503c83a456628ee6fc2ecaabbffa9b48480525b,2026-06-22T00:34:12.910040+00:00
fig_stability,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\04_manuscript\figs\fig1_resampling_stability_dupsafe.png,88650,23db93849bbc7d881e669233923609afd607e01b1d1e2faacad88d65a8f7c18d,2026-06-22T00:34:11.538023+00:00
fig_calibration,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\04_manuscript\figs\fig2_calibration_sensitivity_dupsafe.png,95357,853b06929c7db5aa089f6a9bc6cd7d69dc3b9f9216d860f80954352561643fd8,2026-06-22T00:34:12.318104+00:00
fig_cd,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\04_manuscript\figs\fig3_critical_difference_dupsafe.png,142632,e04be4a77591acdd1fc77691e0824a36e3b7f4ac81ee82ebd9b780d4444fa4b0,2026-06-22T00:34:12.782728+00:00
table,C:\DOCS\AKADEMIK\CALISMALAR\20_TASLAK_CALISMALAR\SCI-SoftMCC_Theory\04_manuscript\tables\table_main_results_dupsafe.tex,904,01e53c3816a6d27e69c57e47756592cc91c964775045635ae8addf1e8d3c9d0d,2026-06-22T00:34:12.814506+00:00
