baseline,dataset,n_pairs,mean_difference,within_dataset_unpaired_cliffs_delta,matched_pairs_rank_biserial,paired_sign_effect,positive_pairs,negative_pairs,zero_pairs
MCC@best,breast_cancer(37%),12,-0.01075634817677031,-0.2013888888888889,-1.0,-1.0,0,4,8
MCC@best,synth(5%),12,0.020585138270008314,0.19444444444444445,0.8,0.5,3,1,8
MCC@best,synth(1%),12,-0.015689944153005744,-0.041666666666666664,-0.14285714285714285,-0.3333333333333333,2,4,6
MCC@best,creditcard(1%),12,0.0008188536270533712,0.027777777777777776,0.2222222222222222,0.25,5,3,4
MCC@best,creditcard(0.5%),12,-0.010643895625793867,-0.2638888888888889,-0.41818181818181815,-0.2,4,6,2
MCC@best,iotid20(6.4%),12,-0.0007080480426390386,-0.041666666666666664,-0.8,-0.5,1,3,8
F1@best,breast_cancer(37%),12,-0.01075634817677031,-0.2013888888888889,-1.0,-1.0,0,4,8
F1@best,synth(5%),12,0.02213397782645568,0.2152777777777778,1.0,1.0,3,0,9
F1@best,synth(1%),12,-0.012128332125457811,-0.027777777777777776,0.0,0.0,2,2,8
F1@best,creditcard(1%),12,0.0008188536270533712,0.027777777777777776,0.2222222222222222,0.25,5,3,4
F1@best,creditcard(0.5%),12,-0.010643895625793867,-0.2638888888888889,-0.41818181818181815,-0.2,4,6,2
F1@best,iotid20(6.4%),12,-0.0007080480426390386,-0.041666666666666664,-0.8,-0.5,1,3,8
AUPRC,breast_cancer(37%),12,-0.007755266057829946,-0.125,-0.23636363636363636,-0.2,4,6,2
AUPRC,synth(5%),12,0.0019048284916871744,0.034722222222222224,1.0,1.0,1,0,11
AUPRC,synth(1%),12,-0.02871407486659017,-0.125,-0.4,0.0,2,2,8
AUPRC,creditcard(1%),12,3.994026546019769e-05,-0.006944444444444444,0.07142857142857142,0.14285714285714285,4,3,5
AUPRC,creditcard(0.5%),12,-0.002528587439409415,-0.06944444444444445,0.05555555555555555,0.25,5,3,4
AUPRC,iotid20(6.4%),12,0.003875905266667821,0.2638888888888889,0.8095238095238095,0.6666666666666666,5,1,6
AUROC,breast_cancer(37%),12,0.00037348809107792813,0.0,0.06666666666666667,-0.1111111111111111,4,5,3
AUROC,synth(5%),12,0.0030302704887863324,0.006944444444444444,1.0,1.0,1,0,11
AUROC,synth(1%),12,-0.03362478918949377,-0.1111111111111111,-0.3333333333333333,0.0,4,4,4
AUROC,creditcard(1%),12,0.015588053135588567,0.3333333333333333,0.7090909090909091,0.6,8,2,2
AUROC,creditcard(0.5%),12,0.005116754984640121,0.034722222222222224,0.37777777777777777,0.3333333333333333,6,3,3
AUROC,iotid20(6.4%),12,0.004020504024132621,0.2708333333333333,0.7857142857142857,0.7142857142857143,6,1,5
Brier,breast_cancer(37%),12,-0.007195873056912151,-0.1388888888888889,-0.6,-0.5,1,3,8
Brier,synth(5%),12,0.0019048284916871744,0.034722222222222224,1.0,1.0,1,0,11
Brier,synth(1%),12,-0.03031052538969275,-0.125,-0.6,-0.5,1,3,8
Brier,creditcard(1%),12,0.0016884654445445495,0.06944444444444445,1.0,1.0,2,0,10
Brier,creditcard(0.5%),12,0.007554534345342663,0.020833333333333332,0.6666666666666666,0.3333333333333333,2,1,9
Brier,iotid20(6.4%),12,0.0002826208465209479,0.020833333333333332,1.0,1.0,1,0,11
MCC@0.5,breast_cancer(37%),12,-0.007351667397365304,-0.1388888888888889,-0.2777777777777778,-0.25,3,5,4
MCC@0.5,synth(5%),12,0.03808863357686112,0.22916666666666666,0.5714285714285714,0.42857142857142855,5,2,5
MCC@0.5,synth(1%),12,0.0207561646341276,0.1875,0.28888888888888886,0.3333333333333333,6,3,3
MCC@0.5,creditcard(1%),12,-0.00025058300530754935,-0.041666666666666664,0.0,0.0,2,2,8
MCC@0.5,creditcard(0.5%),12,0.0015071880620865878,0.041666666666666664,0.23809523809523808,0.0,3,3,6
MCC@0.5,iotid20(6.4%),12,0.00048374969842154836,0.006944444444444444,0.3333333333333333,0.3333333333333333,2,1,9
